nid,uuid,type,title,status,changed_local,changed_ts,path
1309,8f0d554e-5122-4553-ac87-e003f4292d62,how_ever_article,.endnotes,published,"2026-01-20 17:42:14 EST",1768948934,/however/v3/n1/endnotes/endnotes
1313,67a73641-da91-4f45-b6cc-8dedb44b4a26,how_ever_article,"Letter to the House | Yellow Flag | The End of Part One",published,"2026-01-20 17:48:24 EST",1768949304,/however/v3/n2/bodies-line-shapes-poem/letter-house-yellow-flag-end-part-one
1317,94824653-5f6c-454a-82e4-0b740b53db00,how_ever_article,"Three Sentences",published,"2026-02-19 14:19:21 EST",1771528761,/however/v3/n2/bodies-line-shapes-poem/three-sentences
1331,9fc68b5c-b4c7-4928-a700-f6ac49b0ccfc,how_ever_article,"Excerpts from Inserting the Mirror",published,"2026-02-20 16:56:19 EST",1771624579,/however/v4/n2/paragraph/excerpts-inserting-mirror
1333,1f8994a5-de9f-4a62-8ab5-79c80a93c082,person,"Susan Roberts",published,"2026-02-21 17:35:26 EST",1771713326,/susan-roberts
1335,1339eb02-0eb8-4ba1-aa95-ed2a59aa628f,person,"Susan Roberts ",published,"2026-02-21 17:37:25 EST",1771713445,/susan-roberts-0
1334,8572a3e0-6c72-4ffa-ad12-474046a778af,how_ever_article,"from Cherries in the Afternoon",published,"2026-02-21 17:39:47 EST",1771713587,/however/v4/n2/paragraph/cherries-afternoon
1336,f3606133-ccf4-4be2-9afe-46bb484b444d,how_ever_article,"Free Rein",published,"2026-02-21 17:50:48 EST",1771714248,/however/v4/n2/paragraph/free-rein
1337,8029015c-f95d-48f9-82e9-d1cf1b29b8f8,person,"Linda Norton",published,"2026-02-21 17:55:45 EST",1771714545,/linda-norton
1338,83494a68-4ce7-4c50-a041-2be487928118,person,"Linda N",published,"2026-02-21 17:56:12 EST",1771714572,/linda-n
1339,6baf9af1-8641-40b6-9dea-8e82435425b1,how_ever_article,"Linen Song",published,"2026-02-21 17:57:14 EST",1771714634,/however/v4/n2/paragraph/linen-song
1332,8564ea9e-e1e4-4074-81ee-345e41f93139,how_ever_article,"The Veil",published,"2026-02-21 17:59:25 EST",1771714765,/however/v4/n2/paragraph/veil
1340,6d7cc479-6ddf-4ad9-9113-a97a478f4ff8,person,"Lydia Davis",published,"2026-02-21 18:09:37 EST",1771715377,/lydia-davis
1329,4fe4ae03-8893-452f-b7e6-3e0dfe9db5e1,how_ever_section,PARAGRAPH,published,"2026-02-21 20:30:08 EST",1771723808,/however/v4/n2/paragraph
1342,95f97b09-42fc-4c6d-bfc2-7513eaa8ff0e,how_ever_section,postcards,published,"2026-02-21 20:39:59 EST",1771724399,/however/v4/n2/postcards
1126,e87030d0-63ab-42cb-a839-a0b7434694af,journal_issue,"How(ever) Volume 4 Issue 2",published,"2026-02-21 20:49:55 EST",1771724995,/however/v4/n2
1343,5e6a8792-1f24-441f-b600-ce4669083a16,how_ever_section,".endnotes ",published,"2026-02-21 20:50:29 EST",1771725029,/however/v4/n2/endnotes
1341,47d29b2d-c2ff-4b1d-abf9-f2e39d7524f8,how_ever_section,"alerts( ",published,"2026-02-22 11:17:21 EST",1771777041,/however/v4/n2/alerts
306,5bd908ad-2351-4f9c-9c51-6bda4e96a5aa,how_ever_article,"For the rest of it",published,"2026-02-22 17:11:58 EST",1771798318,/however/v1/n1/johanna-jordahl/rest-it
